date,NVDA,AAPL,MSFT,AMZN,GOOGL,AVGO,GOOG,MU,LLY,BRK-B,AMD,JPM,XOM,INTC,JNJ,V,WMT,CSCO,COST,CAT,MA,LRCX,NFLX,AMAT,UNH,ORCL,CVX,PG,BAC,GE,HD,KO,GS,MRK,TXN,PM,QCOM,KLAC,IBM,MS,RTX,WFC,LIN,C,ADI,VZ,PEP,MCD,STX,DIS,TMO,NEE,APH,AMGN,WDC,BA,T,TJX,GILD,AXP,CRM,UNP,ETN,BLK,ISRG,ABT,PFE,HON,WELL,GLW,SCHW,COP,BKNG,DE,PLD,SPGI,LOW,MO,NEM,CVS,COF,BMY,CB,SBUX,PGR,DHR,VRTX,ACN,PWR,LMT,PH,SYK,EQIX,CDNS,SO,TT,CME,ADBE,MDT,BNY,DUK,FCX,MCK,CMI,SNPS,CMCSA,WMB,TMUS,FDX,PNC,ADP,GD,AMT,INTU,BX,ELV,CSX,USB,MAR,ICE,JCI,SLB,FTNT,MMM,CIEN,MDLZ,EMR,WM,MPWR,UPS,MRSH,ORLY,CI,VLO,NOC,CL,ROST,EOG,BSX,TDG,CRH,COHR,RCL,SHW,NSC,AEP,MCO,AON,MSI,WBD,SPY
2010-01-04,0.4237838089466095,6.40648078918457,23.02751350402832,6.695000171661377,15.555866241455078,1.3257814645767212,15.483124732971191,10.581865310668945,23.40859603881836,66.22000122070312,9.699999809265137,28.279199600219727,37.37726974487305,13.519423484802246,39.97481155395508,19.56467056274414,12.909191131591797,15.88960075378418,42.04338073730469,39.12439727783203,23.54209327697754,3.3857805728912354,0.7639999985694885,10.99973201751709,24.407690048217773,19.947357177734375,40.89091873168945,37.86107635498047,12.10078239440918,53.5247802734375,19.441808700561523,17.316333770751953,129.95761108398438,20.460763931274414,16.9387264251709,23.134889602661133,31.16616439819336,20.82807731628418,71.9388198852539,21.626876831054688,30.67500114440918,17.835866928100586,60.01103210449219,24.9791202545166,21.829471588134766,13.316375732421875,37.626461029052734,40.3324089050293,9.766864776611328,27.291227340698242,44.93896484375,8.29085636138916,5.030229091644287,38.74854278564453,27.345779418945312,43.77754211425781,6.67378044128418,7.250166893005371,14.956426620483398,32.380950927734375,18.434354782104492,23.054109573364258,21.324480056762695,157.4573516845703,34.307777404785156,18.207748413085938,9.051423072814941,25.312286376953125,21.870075225830078,13.25278377532959,16.027692794799805,22.62325668334961,8.79411506652832,41.15577697753906,15.292121887207031,25.725522994995117,17.131261825561523,7.282123565673828,34.07281494140625,22.13467025756836,30.380075454711914,14.544500350952148,35.53950500488281,8.50205135345459,10.383387565612793,15.126853942871094,44.2400016784668,31.22735595703125,20.830062866210938,46.536537170410156,41.4205207824707,42.57251739501953,80.57819366455078,6.119999885559082,16.24974250793457,17.540090560913086,35.58297348022461,37.09000015258789,29.4249324798584,19.44663429260254,24.93859100341797,29.861677169799805,55.90280532836914,31.93423080444336,22.440000534057617,5.515410423278809,7.910172462463379,12.698343276977539,68.79573822021484,33.779640197753906,25.521587371826172,47.27751922607422,31.462656021118164,27.060094833374023,6.066495895385742,47.45094680786133,4.0891876220703125,13.957842826843262,21.95555877685547,19.263389587402344,11.830831527709961,45.52836227416992,1.7999999523162842,42.56047439575195,11.020000457763672,12.385832786560059,27.784191131591797,22.704198837280273,20.505996704101562,32.95256423950195,15.578595161437988,2.566667079925537,32.90155029296875,9.651632308959961,36.88819885253906,28.060304641723633,9.06348991394043,35.020713806152344,9.010000228881836,21.21049690246582,17.220346450805664,16.079999923706055,21.192646026611328,17.169002532958984,36.09006881713867,18.579387664794922,22.479219436645508,32.0410041809082,25.120119094848633,15.840572357177734,84.79637908935547
2010-01-05,0.4299721419811249,6.417556285858154,23.03495216369629,6.734499931335449,15.487361907958984,1.3356229066848755,15.414941787719727,10.89395523071289,22.996902465820312,66.54000091552734,9.710000038146973,28.826976776123047,37.523223876953125,13.512951850891113,39.51128387451172,19.34047508239746,12.780645370483398,15.818801879882812,41.91598892211914,39.59213638305664,23.472429275512695,3.3628571033477783,0.7358570098876953,10.915116310119629,24.368980407714844,19.92328453063965,41.18055725097656,37.87348175048828,12.494115829467773,53.801937103271484,19.584217071533203,17.106857299804688,132.25521850585938,20.54368782043457,16.84104347229004,22.93330955505371,31.91643714904785,20.596790313720703,71.06979370117188,22.417505264282227,30.21677589416504,18.32550048828125,58.892608642578125,25.934186935424805,21.79500961303711,13.340384483337402,38.08113479614258,40.024024963378906,9.575562477111816,27.2231502532959,45.0903434753418,8.209890365600586,4.925112724304199,38.412899017333984,28.070812225341797,45.21133804321289,6.6410908699035645,7.4453020095825195,14.94261360168457,32.309730529785156,18.355512619018555,23.374950408935547,21.198497772216797,158.13711547851562,34.1533317565918,18.060636520385742,8.922324180603027,25.362464904785156,22.177968978881836,13.300206184387207,15.979081153869629,22.644773483276367,8.896209716796875,41.00160217285156,15.515137672424316,25.748491287231445,16.953731536865234,7.2857985496521,34.16423797607422,22.04741096496582,31.578155517578125,14.317509651184082,34.73884201049805,8.701231956481934,10.348833084106445,15.108739852905273,42.779998779296875,31.420339584350586,20.91832733154297,47.02096939086914,41.22298812866211,42.97245407104492,79.8280258178711,6.059999942779541,15.9223051071167,17.365903854370117,35.55388641357422,37.70000076293945,30.028175354003906,19.65285301208496,24.5271053314209,30.040569305419922,56.10574722290039,32.689369201660156,22.25,5.440659046173096,8.00899887084961,12.730208396911621,69.69429779052734,34.120540618896484,25.384531021118164,47.352699279785156,31.983884811401367,27.060094833374023,6.101892471313477,47.96715545654297,4.197148323059082,14.311662673950195,22.082700729370117,18.538055419921875,11.772115707397461,45.65726089477539,1.8389999866485596,42.29389190673828,11.859999656677246,12.990900039672852,27.829063415527344,22.604509353637695,20.42055892944336,33.00921630859375,15.201056480407715,2.570667028427124,33.4533576965332,9.899802207946777,36.95309829711914,28.287216186523438,9.229084968566895,34.59157180786133,9.039999961853027,21.412296295166016,16.637123107910156,16.28499984741211,21.266578674316406,16.76252555847168,36.645938873291016,18.366682052612305,22.248414993286133,31.838293075561523,24.773414611816406,16.46397590637207,85.02084350585938
2010-01-06,0.4327225089073181,6.315475940704346,22.89357566833496,6.612500190734863,15.096943855285645,1.3461676836013794,15.026350021362305,10.942723274230957,23.166810989379883,66.19999694824219,9.569999694824219,28.9853515625,37.8475341796875,13.46762752532959,39.832664489746094,19.080764770507812,12.75207805633545,15.715839385986328,42.46091079711914,39.712398529052734,23.43849754333496,3.3475754261016846,0.761713981628418,10.89203929901123,24.608959197998047,19.63431167602539,41.18572998046875,37.69384002685547,12.640645027160645,53.5247802734375,19.516416549682617,17.100786209106445,130.84356689453125,20.820106506347656,16.717304229736328,22.93330955505371,31.604387283325195,20.517807006835938,70.608154296875,22.704374313354492,30.058326721191406,18.351619720458984,59.415042877197266,26.74235725402832,21.753652572631836,12.956796646118164,37.70018768310547,39.47795104980469,9.508345603942871,27.078481674194336,45.51607894897461,8.29085636138916,4.943727493286133,38.12422561645508,28.09497833251953,46.582801818847656,6.575851917266846,7.47548246383667,15.460732460021973,32.832000732421875,18.3234806060791,23.410186767578125,21.10566520690918,154.87680053710938,34.648887634277344,18.16094207763672,8.893634796142578,25.362464904785156,22.068721771240234,13.130816459655762,15.687376976013184,22.808271408081055,8.602494239807129,40.89149475097656,15.37649917602539,25.518871307373047,16.998119354248047,7.392512798309326,34.888587951660156,21.852787017822266,31.749296188354492,14.31183910369873,34.26276397705078,8.638527870178223,10.245173454284668,15.136914253234863,42.029998779296875,31.754364013671875,21.516550064086914,46.33063507080078,41.04825210571289,43.63356399536133,80.55614471435547,6.130000114440918,16.14712142944336,17.240095138549805,35.31277847290039,37.619998931884766,30.523096084594727,19.357269287109375,24.615278244018555,31.239194869995117,53.82058334350586,32.98872375488281,22.209999084472656,5.401659965515137,8.268891334533691,11.869845390319824,69.11725616455078,34.120540618896484,25.324951171875,47.31168746948242,32.15037536621094,26.68242835998535,6.212516784667969,48.74542999267578,4.210541248321533,14.464173316955566,22.146270751953125,17.966304779052734,11.7329740524292,46.67488479614258,1.940999984741211,42.893699645996094,11.90999984741211,13.081209182739258,28.079025268554688,22.59786605834961,19.737014770507812,32.76566696166992,15.664074897766113,2.559333086013794,33.38100814819336,10.147971153259277,37.09585189819336,28.222881317138672,9.371338844299316,34.706722259521484,9.15999984741211,21.562572479248047,16.348587036132812,16.385000228881836,20.732648849487305,16.54259490966797,36.542999267578125,18.55280303955078,21.77855110168457,31.82984733581543,25.120119094848633,16.70924949645996,85.08068084716797
2010-01-07,0.424242228269577,6.303802013397217,22.655506134033203,6.5,14.745494842529297,1.337732195854187,14.676543235778809,10.572113037109375,23.049179077148438,66.45999908447266,9.470000267028809,29.55951499938965,37.7286262512207,13.338129997253418,39.54835510253906,19.258346557617188,12.759223937988281,15.786624908447266,42.25568389892578,39.87278366088867,23.285341262817383,3.3416330814361572,0.74857097864151,10.776660919189453,25.55336570739746,19.570087432861328,41.03057098388672,37.48942565917969,13.057125091552734,56.29627990722656,19.746967315673828,17.058284759521484,133.40408325195312,20.853281021118164,16.7694034576416,23.219280242919922,32.5206413269043,20.630630493164062,70.36373901367188,23.033214569091797,30.186800003051758,19.01752281188965,59.5695686340332,26.815814971923828,21.581327438354492,12.87966537475586,37.46057891845703,39.76705551147461,9.327380180358887,27.086990356445312,45.51607894897461,8.267500877380371,4.9108805656433105,37.77513885498047,27.545162200927734,48.46855545043945,6.502018928527832,7.857703685760498,15.498729705810547,33.364479064941406,18.242177963256836,23.202178955078125,21.417308807373047,156.57960510253906,34.518890380859375,18.311386108398438,8.860158920288086,25.85177993774414,22.11341667175293,13.259556770324707,15.630653381347656,22.71791648864746,8.486659049987793,41.185142517089844,15.503082275390625,26.08527183532715,17.486305236816406,7.381474494934082,34.663543701171875,22.658166885375977,33.32082748413086,14.323184967041016,34.45753860473633,8.616394996643066,10.106954574584961,15.261719703674316,41.5,31.724672317504883,21.840185165405273,45.05900573730469,41.534488677978516,45.094547271728516,78.9087142944336,6.25,16.07869529724121,17.414291381835938,35.356422424316406,36.88999938964844,30.805891036987305,20.175275802612305,24.732847213745117,30.64167022705078,53.93528747558594,34.662296295166016,22.149999618530273,5.515410423278809,8.21032428741455,11.981374740600586,68.3670654296875,35.97016525268555,25.31302261352539,47.44834518432617,32.063507080078125,26.594602584838867,6.234642505645752,50.55611038208008,4.181247711181641,14.74479866027832,22.23368263244629,18.456127166748047,11.817777633666992,47.15657424926758,1.9450000524520874,42.92445755004883,12.210000038146973,13.049603462219238,28.079025268554688,22.651031494140625,19.43798065185547,32.51644515991211,15.863526344299316,2.551332950592041,34.611297607421875,10.223505020141602,37.47867202758789,28.111116409301758,9.755615234375,34.38226318359375,9.09000015258789,21.84166145324707,15.937261581420898,15.739999771118164,21.11050033569336,16.690149307250977,36.06261444091797,18.712322235107422,21.712614059448242,31.736967086791992,25.624420166015625,16.69902992248535,85.43982696533203
2010-01-08,0.42515891790390015,6.345712184906006,22.81174087524414,6.676000118255615,14.942070007324219,1.3475735187530518,14.872198104858398,10.82568645477295,22.872730255126953,66.44000244140625,9.430000305175781,29.48691749572754,37.577266693115234,13.487052917480469,39.684329986572266,19.311620712280273,12.694945335388184,15.870290756225586,41.951385498046875,40.32050704956055,23.29360008239746,3.4256832599639893,0.7614290118217468,11.192033767700195,25.31340217590332,19.81089973449707,41.10297775268555,37.439857482910156,12.94143295288086,57.50881576538086,19.652034759521484,16.742565155029297,130.88113403320312,20.842227935791016,17.15363883972168,23.09269905090332,32.845977783203125,20.940914154052734,71.06979370117188,22.56443214416504,30.246747970581055,18.84126091003418,59.95954513549805,26.375001907348633,21.705398559570312,12.887786865234375,37.33769989013672,39.728519439697266,9.249825477600098,27.129541397094727,46.28242111206055,8.195880889892578,4.947012901306152,38.11078643798828,27.684125900268555,48.00101089477539,6.454384803771973,7.755107402801514,15.384740829467773,33.340660095214844,18.269275665283203,23.988401412963867,21.898040771484375,157.68170166015625,34.328887939453125,18.405000686645508,8.931885719299316,26.422637939453125,21.884973526000977,13.47636890411377,15.52531623840332,22.915843963623047,8.489800453186035,42.308372497558594,15.46088695526123,25.98577117919922,17.449325561523438,7.39987325668335,34.895626068115234,22.819250106811523,33.0329704284668,14.084845542907715,34.26276397705078,8.58689022064209,10.19909954071045,15.475085258483887,40.66999816894531,31.598493576049805,21.438098907470703,45.7856559753418,42.71205139160156,45.23330307006836,78.52623748779297,6.340000152587891,16.04448699951172,17.71428108215332,36.301063537597656,36.689998626708984,30.967500686645508,20.299015045166016,24.74755096435547,31.521846771240234,53.617645263671875,36.512779235839844,22.309999465942383,5.499161720275879,8.276212692260742,11.312201499938965,70.06531524658203,36.06486511230469,25.277271270751953,47.44834518432617,32.128665924072266,27.29722785949707,6.216940402984619,50.77848434448242,4.383782386779785,14.769197463989258,22.281360626220703,18.514156341552734,11.85692024230957,47.92995834350586,2.010999917984009,43.2269172668457,11.930000305175781,13.063141822814941,28.23925018310547,22.757373809814453,19.660125732421875,34.07968521118164,15.785168647766113,2.5286669731140137,34.348976135253906,10.083230018615723,37.27103042602539,27.606464385986328,9.566659927368164,34.55670928955078,9.0,22.090694427490234,16.33016586303711,15.675000190734863,21.28299903869629,16.832120895385742,37.30473327636719,18.9356632232666,22.12476348876953,31.998764038085938,24.458234786987305,16.7501277923584,85.72415924072266
2010-01-11,0.4191998243331909,6.289732933044434,22.521568298339844,6.515500068664551,14.91948413848877,1.356008768081665,14.84971809387207,10.63062858581543,23.186405181884766,66.5,9.140000343322754,29.3879337310791,37.99888229370117,13.564752578735352,39.69050979614258,19.256134033203125,12.904424667358398,15.825246810913086,42.00090789794922,42.853050231933594,22.91022300720215,3.517374277114868,0.7604290246963501,11.438179969787598,25.48370933532715,19.818931579589844,41.83225631713867,37.29120635986328,13.057125091552734,58.063140869140625,19.09597396850586,17.08257484436035,128.81631469726562,20.925155639648438,16.932214736938477,23.177082061767578,32.726470947265625,20.850648880004883,70.32574462890625,22.417505264282227,30.901966094970703,18.802085876464844,60.526084899902344,26.668882369995117,21.581327438354492,12.940557479858398,37.29468536376953,40.03687286376953,9.487659454345703,26.687023162841797,46.83115005493164,8.189655303955078,4.959057331085205,38.27863693237305,27.71433448791504,47.43215560913086,6.423423767089844,7.743037700653076,15.505636215209961,32.95915985107422,18.146087646484375,23.829750061035156,22.899282455444336,160.24899291992188,34.58777618408203,18.498619079589844,9.003606796264648,26.755109786987305,21.934633255004883,13.882896423339844,15.4847993850708,23.04922103881836,8.595818519592285,44.011566162109375,15.478971481323242,25.84033966064453,17.301387786865234,7.4550652503967285,35.28945541381836,22.772266387939453,32.44171905517578,14.232391357421875,34.63064193725586,8.56106948852539,9.939948081970215,15.650206565856934,41.83000183105469,31.568798065185547,20.57508087158203,46.00364303588867,43.9276237487793,45.094547271728516,79.1734619140625,6.340000152587891,16.254629135131836,18.149749755859375,36.293792724609375,36.209999084472656,30.846302032470703,19.94843864440918,24.997365951538086,31.518264770507812,54.226436614990234,37.417598724365234,22.1200008392334,5.463410377502441,8.22496509552002,11.455595970153809,71.92842102050781,36.16586685180664,25.390474319458008,48.32978820800781,31.839096069335938,27.420194625854492,6.216940402984619,51.07232666015625,4.340261459350586,14.836304664611816,22.23368263244629,18.517568588256836,12.163541793823242,47.92995834350586,2.005000114440918,43.052608489990234,11.760000228881836,13.004446029663086,28.668668746948242,23.04317283630371,19.45507049560547,35.580631256103516,15.728189468383789,2.5420000553131104,33.80617141723633,9.98612117767334,37.30995559692383,27.48453712463379,9.613365173339844,34.23921203613281,9.069999694824219,22.094980239868164,16.74148941040039,15.595000267028809,21.373361587524414,16.601049423217773,37.21550369262695,19.132410049438477,21.992870330810547,32.13389587402344,24.20609474182129,16.693918228149414,85.84388732910156
2010-01-12,0.40498968958854675,6.21818733215332,22.372770309448242,6.367499828338623,14.655648231506348,1.3356229066848755,14.587116241455078,10.006446838378906,23.107994079589844,66.0,8.649999618530273,28.701576232910156,37.809696197509766,13.344603538513184,39.90065383911133,19.165119171142578,13.028212547302246,15.574252128601074,41.774452209472656,41.590126037597656,22.897384643554688,3.2889957427978516,0.7481430172920227,10.922806739807129,24.810232162475586,19.714576721191406,41.58916473388672,37.7186279296875,12.617512702941895,58.097774505615234,18.97390365600586,17.267759323120117,126.00814056396484,20.759294509887695,16.222368240356445,23.050514221191406,32.19529724121094,20.122913360595703,70.88513946533203,21.78079605102539,30.72210693359375,18.332033157348633,59.878578186035156,25.860727310180664,20.685270309448242,12.952735900878906,37.81693649291992,40.25529479980469,9.161930084228516,26.22749137878418,46.05535125732422,7.990359783172607,4.8506574630737305,37.6140251159668,27.001388549804688,47.089317321777344,6.4210405349731445,7.672624111175537,15.526359558105469,33.39628982543945,16.825475692749023,23.759233474731445,22.607532501220703,157.384765625,33.821109771728516,18.44512176513672,8.97491455078125,26.454004287719727,21.736007690429688,13.666086196899414,15.468594551086426,22.558725357055664,8.402235984802246,42.132179260253906,15.135397911071777,25.449981689453125,17.257007598876953,7.414592266082764,34.12203598022461,22.523937225341797,32.5661735534668,14.07917594909668,34.702781677246094,8.417218208312988,9.962981224060059,15.432815551757812,41.790000915527344,31.36838722229004,20.19260597229004,45.997596740722656,44.01879119873047,45.0619010925293,75.96680450439453,6.199999809265137,16.15200424194336,17.767507553100586,35.55805206298828,35.65999984741211,30.516359329223633,19.98280906677246,25.026756286621094,30.330385208129883,54.98521423339844,36.295074462890625,21.799999237060547,5.365910053253174,7.9833784103393555,10.1172513961792,71.37611389160156,35.79340362548828,25.211729049682617,48.03598403930664,31.448158264160156,27.420194625854492,6.057644844055176,50.39728546142578,4.244015216827393,14.83021068572998,22.042970657348633,18.044818878173828,12.147229194641113,47.2108268737793,1.9789999723434448,43.08851623535156,11.720000267028809,13.225700378417969,28.514850616455078,23.182743072509766,18.848430633544922,35.342735290527344,15.5714693069458,2.5899999141693115,33.05534362792969,9.824272155761719,37.34891128540039,27.325347900390625,9.649459838867188,33.29025650024414,9.140000343322754,21.588333129882812,16.409976959228516,15.125,21.085857391357422,16.54259490966797,37.07141876220703,18.940977096557617,22.1082763671875,32.08322525024414,23.32357406616211,16.249361038208008,85.0433120727539
2010-01-13,0.4104904234409332,6.3058977127075195,22.581092834472656,6.45550012588501,14.57150936126709,1.2948516607284546,14.503368377685547,10.201504707336426,23.428205490112305,66.0,9.149999618530273,29.203157424926758,37.658348083496094,13.571226119995117,40.154048919677734,19.34269905090332,13.09486198425293,15.857423782348633,42.03629684448242,41.650245666503906,23.492612838745117,3.2991843223571777,0.7708569765090942,10.976653099060059,25.189538955688477,19.907238006591797,41.273651123046875,38.108856201171875,12.818031311035156,58.30562973022461,19.07562828063965,17.31329917907715,126.94664764404297,21.522216796875,16.29400634765625,23.28489875793457,32.334720611572266,20.359846115112305,70.73307037353516,21.87175750732422,31.073274612426758,18.658458709716797,60.93812942504883,25.713794708251953,20.678380966186523,12.936502456665039,38.1241340637207,40.21034240722656,9.404939651489258,26.627460479736328,46.074275970458984,8.018386840820312,4.927305221557617,37.94969177246094,27.46662139892578,47.65815353393555,6.344825744628906,7.69877815246582,15.719794273376465,33.49961471557617,16.877214431762695,23.787439346313477,22.8396053314209,158.01174926757812,34.00444412231445,18.62024688720703,9.18530559539795,26.548105239868164,22.202804565429688,13.760932922363281,15.476700782775879,22.700700759887695,8.414802551269531,42.79290771484375,15.545272827148438,25.549476623535156,17.17563819885254,7.447708606719971,34.28379440307617,22.79911994934082,32.76844787597656,14.181316375732422,34.81816864013672,8.623770713806152,10.204854011535645,15.471060752868652,42.720001220703125,31.724672317504883,20.23183822631836,46.55469512939453,44.25431823730469,45.27410888671875,75.81236267089844,6.389999866485596,16.381698608398438,17.748151779174805,35.6682014465332,36.279998779296875,30.691425323486328,20.134033203125,25.085540771484375,30.87879180908203,55.152854919433594,35.90730285644531,22.010000228881836,5.450410842895508,7.990696430206299,10.085384368896484,70.74954986572266,36.07164764404297,25.396448135375977,48.8260383605957,32.11418914794922,27.736377716064453,6.044372081756592,51.596458435058594,4.269961833953857,15.07422161102295,22.352876663208008,18.367382049560547,12.036327362060547,48.06562805175781,1.944000005722046,42.95009994506836,12.0600004196167,13.198609352111816,28.534082412719727,23.129579544067383,18.81425666809082,35.155826568603516,15.5714693069458,2.5986669063568115,32.97391891479492,9.743349075317383,38.471431732177734,27.454055786132812,9.751370429992676,34.15853500366211,9.149999618530273,21.661327362060547,16.557321548461914,15.0600004196167,21.800498962402344,16.754179000854492,37.05768966674805,19.174951553344727,22.817190170288086,32.142333984375,23.953948974609375,16.34644889831543,85.7615966796875
2010-01-14,0.40407297015190125,6.269378185272217,23.03495216369629,6.367499828338623,14.640009880065918,1.295554518699646,14.571552276611328,10.464829444885254,23.52623176574707,65.95999908447266,9.0,29.4935359954834,37.66374206542969,13.907917976379395,40.23439025878906,19.4092960357666,12.904424667358398,16.056926727294922,41.55506896972656,41.41637420654297,23.889732360839844,3.255035877227783,0.7284290194511414,11.038190841674805,25.793338775634766,20.381793975830078,41.14435577392578,38.14604187011719,12.972283363342285,57.855289459228516,19.190906524658203,17.343656539916992,126.5412368774414,22.108234405517578,16.09212303161621,23.252092361450195,32.11560821533203,19.74493408203125,71.86279296875,21.82977867126465,31.18033218383789,18.92612075805664,59.606353759765625,25.787261962890625,20.657697677612305,12.672653198242188,38.584938049316406,40.24888610839844,9.48249340057373,26.397693634033203,45.80937194824219,7.7863969802856445,4.959057331085205,37.7012939453125,27.653919219970703,47.969844818115234,6.237651824951172,7.604228973388672,15.702528953552246,33.92082977294922,17.04722023010254,23.403146743774414,22.879398345947266,157.00856018066406,34.22222137451172,18.64044761657715,9.266592025756836,26.70492935180664,22.0389347076416,13.686413764953613,15.541522979736328,22.79536247253418,8.197657585144043,42.83694076538086,15.484996795654297,25.518871307373047,17.153444290161133,7.499223232269287,34.05171203613281,22.78569221496582,32.41836929321289,14.215364456176758,35.150001525878906,8.686478614807129,10.222134590148926,15.53547191619873,41.29999923706055,32.006744384765625,19.064804077148438,46.53046798706055,44.66455078125,45.72300338745117,76.57725524902344,6.320000171661377,16.342601776123047,17.89815330505371,35.5143928527832,35.900001525878906,30.960756301879883,20.106544494628906,25.085540771484375,30.49527359008789,54.69406509399414,35.98213577270508,22.190000534057617,5.417908191680908,7.943113803863525,9.926057815551758,71.13699340820312,36.57758331298828,25.324951171875,48.84666061401367,32.295169830322266,27.912033081054688,6.084195137023926,52.589149475097656,4.230625152587891,15.45245361328125,23.592487335205078,18.707012176513672,12.16027545928955,48.3641471862793,1.9900000095367432,42.80653381347656,11.979999542236328,13.148942947387695,28.803266525268555,22.89030647277832,19.00222396850586,35.229454040527344,15.664074897766113,2.5859999656677246,33.26340103149414,9.85664176940918,38.47793960571289,27.237302780151367,9.681304931640625,34.24238967895508,9.510000228881836,21.7944278717041,16.43453025817871,14.96500015258789,22.556203842163086,16.85161590576172,36.47437286376953,19.249391555786133,22.899627685546875,31.88897132873535,24.300643920898438,16.213592529296875,85.9935531616211
2010-01-15,0.392154723405838,6.164600849151611,22.960548400878906,6.35699987411499,14.39553451538086,1.282198429107666,14.328219413757324,9.879659652709961,23.40859603881836,64.94000244140625,8.84000015258789,28.826976776123047,37.35565948486328,13.46762752532959,39.90065383911133,19.12071418762207,12.778263092041016,15.702963829040527,41.604618072509766,40.44757080078125,24.088764190673828,3.125988721847534,0.7278569936752319,10.561278343200684,26.126218795776367,20.301345825195312,40.97886657714844,37.675254821777344,12.540388107299805,56.954532623291016,19.374006271362305,17.088647842407227,124.04837799072266,21.820768356323242,15.955352783203125,23.261472702026367,32.22185134887695,18.808460235595703,71.57495880126953,21.25604820251465,30.829179763793945,18.332033157348633,59.5695686340332,25.12605094909668,19.961532592773438,12.412867546081543,38.27159118652344,40.01118087768555,9.187780380249023,26.04026985168457,45.175506591796875,7.870476245880127,4.800287246704102,37.761714935302734,26.572416305541992,47.393211364746094,6.142383098602295,7.501631736755371,15.72325325012207,33.69035720825195,16.90924072265625,23.11756134033203,22.461652755737305,157.1339569091797,34.28666687011719,18.687602996826172,9.319188117980957,26.742570877075195,21.999191284179688,13.320533752441406,15.395663261413574,22.812570571899414,8.197657585144043,41.35398864746094,15.412667274475098,25.434673309326172,17.175722122192383,7.513941764831543,33.4820671081543,22.758846282958984,31.99826431274414,14.226720809936523,34.774898529052734,8.58320140838623,10.037846565246582,15.34022331237793,40.209999084472656,31.776636123657227,18.692138671875,46.48203659057617,44.489830017089844,45.731170654296875,75.09894561767578,6.21999979019165,16.29373550415039,17.932016372680664,35.04570388793945,35.869998931884766,30.71163558959961,19.95530891418457,24.835725784301758,30.215679168701172,54.632301330566406,35.192955017089844,21.969999313354492,5.404908180236816,7.822318077087402,10.069452285766602,70.16422271728516,35.843997955322266,25.187885284423828,48.510013580322266,31.853565216064453,27.630985260009766,6.101892471313477,52.93064880371094,4.187942981719971,15.019323348999023,23.282590866088867,18.26668357849121,12.245081901550293,48.052040100097656,1.9630000591278076,42.73991012573242,11.630000114440918,13.356648445129395,28.405885696411133,22.099374771118164,18.61773681640625,35.07654571533203,15.578595161437988,2.547333002090454,33.326725006103516,10.12639331817627,38.03670120239258,27.095041275024414,9.52844524383545,33.84757995605469,9.430000305175781,21.63127326965332,15.894287109375,14.675000190734863,22.285133361816406,16.478561401367188,36.220458984375,19.148359298706055,22.602867126464844,31.720083236694336,23.890901565551758,16.5712833404541,85.02831268310547
