strategy,support_size,vol_multiplier,rebalance_date,next_rebalance_date,target_vol_daily,target_vol_annualized,benchmark_vol_annualized,dense_realized_vol_daily,dense_realized_vol_annualized,sparse_realized_vol_daily,sparse_realized_vol_annualized,dense_expected_return_daily,sparse_expected_return_daily,dense_feasible,sparse_feasible,num_holdings
k=100|vol=0.80,100,0.8,2010-07-30,2010-08-31,0.010189710375007838,0.16175663750427272,0.2021957968803409,0.010189710375026738,0.16175663750457273,0.010189710375026738,0.16175663750457273,0.0004201783482425669,0.0004201783482425669,True,True,25
k=100|vol=0.80,100,0.8,2010-08-31,2010-09-30,0.010013829911548982,0.15896462170355122,0.19870577712943902,0.010013829919266097,0.1589646218260566,0.010013829919266097,0.1589646218260566,0.0004484152467299736,0.0004484152467299736,True,True,24
k=100|vol=0.80,100,0.8,2010-09-30,2010-10-29,0.009846828166272319,0.15631355118445636,0.19539193898057045,0.009846828313148644,0.15631355351604576,0.009846828313148644,0.15631355351604576,0.0013672934213737457,0.0013672934213737457,True,True,22
k=100|vol=0.80,100,0.8,2010-10-29,2010-11-30,0.009483775840464522,0.1505502741825102,0.18818784272813774,0.0094837758408994,0.1505502741894137,0.0094837758408994,0.1505502741894137,0.0016487859840148016,0.0016487859840148016,True,True,23
k=100|vol=0.80,100,0.8,2010-11-30,2010-12-31,0.009307479006322452,0.1477516487021027,0.18468956087762836,0.009307479006408584,0.14775164870347,0.009307479006408584,0.14775164870347,0.001559334284778285,0.001559334284778285,True,True,22
k=100|vol=0.80,100,0.8,2010-12-31,2011-01-31,0.008997727103154796,0.1428344896786392,0.178543112098299,0.008997727181197365,0.1428344909175266,0.008997727181197365,0.1428344909175266,0.0018250639935019494,0.0018250639935019494,True,True,24
k=100|vol=0.80,100,0.8,2011-01-31,2011-02-28,0.008766853243307681,0.13916948077435293,0.17396185096794115,0.008766854504548274,0.13916950079592666,0.008766854504548274,0.13916950079592666,0.0017068786759209644,0.0017068786759209644,True,True,22
k=100|vol=0.80,100,0.8,2011-02-28,2011-03-31,0.008603949662334283,0.13658346659672801,0.17072933324591,0.008603949737630486,0.1365834677920182,0.008603949737630486,0.1365834677920182,0.001925429127300984,0.001925429127300984,True,True,23
k=100|vol=0.80,100,0.8,2011-03-31,2011-04-29,0.008565187209269848,0.13596813173063618,0.16996016466329522,0.008565187610109644,0.13596813809377067,0.008565187610109644,0.13596813809377067,0.0016802964753529692,0.0016802964753529692,True,True,24
k=100|vol=0.80,100,0.8,2011-04-29,2011-05-31,0.008373216032913511,0.13292068378144783,0.1661508547268098,0.008373216132724935,0.13292068536590507,0.008373216132724935,0.13292068536590507,0.0020407441750424017,0.0020407441750424017,True,True,24
k=100|vol=0.80,100,0.8,2011-05-31,2011-06-30,0.008225428096306806,0.1305746230192275,0.1632182787740344,0.008225428096708533,0.13057462302560474,0.008225428096708533,0.13057462302560474,0.0017533708583412284,0.0017533708583412284,True,True,22
k=100|vol=0.80,100,0.8,2011-06-30,2011-07-29,0.0082239222432812,0.1305507183435269,0.16318839792940865,0.008223922362274622,0.13055072023248893,0.008223922362274622,0.13055072023248893,0.0015304165133162612,0.0015304165133162612,True,True,23
k=100|vol=0.80,100,0.8,2011-07-29,2011-08-31,0.00820132836049122,0.13019205157344513,0.16274006446680642,0.008201328388162595,0.13019205201271458,0.008201328388162595,0.13019205201271458,0.0011659312774824546,0.0011659312774824546,True,True,22
k=100|vol=0.80,100,0.8,2011-08-31,2011-09-30,0.009588783446618326,0.1522172182524293,0.1902715228155366,0.012556810447598803,0.1993331862271445,0.012556810447598803,0.1993331862271445,0.0006082987533825088,0.0006082987533825088,False,False,21
k=100|vol=0.80,100,0.8,2011-09-30,2011-10-31,0.009881408770872867,0.1568625012642122,0.19607812658026522,0.01277880443050587,0.20285723145509343,0.01277880443050587,0.20285723145509343,0.0002678995558624951,0.0002678995558624951,False,False,22
k=100|vol=0.80,100,0.8,2011-10-31,2011-11-30,0.010153828117880495,0.16118702433124096,0.20148378041405118,0.013027925844152553,0.20681191129571327,0.013027925844152553,0.20681191129571327,0.0008908285109914094,0.0008908285109914094,False,False,22
k=100|vol=0.80,100,0.8,2011-11-30,2011-12-30,0.010416485496110435,0.16535658094811687,0.20669572618514606,0.013169911139875114,0.20906585798957245,0.013169911139875114,0.20906585798957245,0.000883051677782879,0.000883051677782879,False,False,22
