date,k=5|vol=0.80,k=5|vol=1.00,k=5|vol=1.20,k=10|vol=0.80,k=10|vol=1.00,k=10|vol=1.20,k=15|vol=0.80,k=15|vol=1.00,k=15|vol=1.20,k=20|vol=0.80,k=20|vol=1.00,k=20|vol=1.20,k=30|vol=0.80,k=30|vol=1.00,k=30|vol=1.20,SPY
2010-08-02,0.0044552925287972885,0.005993563209841877,0.007383110514684528,0.006319619275450819,0.006330406362808718,0.00738311051364814,0.00631961927545082,0.00633040636280872,0.0073831105139162195,0.006319619275450822,0.006330406362808719,0.007383110513993755,0.006319619275450826,0.006330406362808722,0.007383110514025961,0.022581219037357325
2010-08-03,-0.005233804222059729,-0.006341416480929125,-0.005246343539265884,-0.005372643264766901,-0.005615486330237765,-0.005246343538480681,-0.0053726432647669,-0.0056154863302377645,-0.005246343538819155,-0.005372643264766899,-0.005615486330237761,-0.0052463435384548385,-0.0053726432647669,-0.005615486330237761,-0.005246343539231974,-0.004788785415303587
2010-08-04,0.007524518725511123,0.010640576529800678,0.0134785079658514,0.0073145803024168765,0.010739470198835805,0.013478507965970637,0.007314580302416877,0.010739470198835805,0.013478507965817444,0.007314580302416877,0.010739470198835803,0.013478507966022716,0.007314580302416877,0.010739470198835801,0.01347850796537072,0.006683044726910614
2010-08-05,0.0032926949395588653,0.003122279505079709,0.001988477454472697,0.002790686276312122,0.002279346466037112,0.001988477455254081,0.0027906862763121243,0.0022793464660371106,0.0019884774550326134,0.002790686276312124,0.00227934646603711,0.0019884774549035087,0.0027906862763121248,0.0022793464660371093,0.001988477454798057,-0.0010624747879187657
2010-08-06,0.007850690898916305,0.00813040007437469,0.009734462348955248,0.006289791442287856,0.008141612470043948,0.009734462350646497,0.006289791442287854,0.00814161247004395,0.009734462349972859,0.006289791442287853,0.008141612470043946,0.009734462350343932,0.006289791442287852,0.008141612470043946,0.00973446234902392,-0.004076017475145743
2010-08-09,0.002495448848316205,0.0012048135083350632,-0.00031175512923217047,0.0029900028443932596,0.0010531029680986193,-0.00031175512955072967,0.0029900028443932596,0.0010531029680986214,-0.00031175512944022605,0.0029900028443932596,0.0010531029680986212,-0.0003117551295074533,0.0029900028443932605,0.0010531029680986232,-0.00031175512934170633,0.005338710172010819
2010-08-10,0.007023990927553982,0.0078821788041294,0.008277664383088728,0.005993258837597173,0.0069959812920995625,0.008277664384880722,0.00599325883759717,0.0069959812920995625,0.008277664384254296,0.005993258837597168,0.006995981292099562,0.008277664384347246,0.005993258837597168,0.006995981292099556,0.008277664383442185,-0.0053987345050031665
2010-08-11,-0.008627666692738678,-0.013124475427773447,-0.017727268758318836,-0.010882993006010163,-0.014116897155664143,-0.017727268756670918,-0.010882993006010169,-0.014116897155664145,-0.01772726875717832,-0.01088299300601017,-0.014116897155664141,-0.01772726875724427,-0.010882993006010176,-0.014116897155664143,-0.017727268757711634,-0.027406848685902152
2010-08-12,0.00807251531903707,0.007583802081660353,0.0061948407928247755,0.0063393625437471995,0.005830678171372039,0.006194840794875274,0.0063393625437471995,0.0058306781713720396,0.006194840794334744,0.0063393625437471995,0.005830678171372036,0.006194840794000496,0.006339362543747199,0.005830678171372035,0.006194840793924971,-0.006130163827345325
2010-08-13,-0.0031341337669326887,-0.003324161608887458,-0.003670115233621107,-0.002870088825610619,-0.0031654015182841144,-0.003670115233706334,-0.002870088825610619,-0.0031654015182841153,-0.003670115233674882,-0.00287008882561062,-0.003165401518284115,-0.0036701152336493497,-0.0028700888256106205,-0.0031654015182841144,-0.0036701152336033275,-0.002945592780078554
