date,k=5|vol=0.80,k=5|vol=1.00,k=5|vol=1.20,k=10|vol=0.80,k=10|vol=1.00,k=10|vol=1.20,k=15|vol=0.80,k=15|vol=1.00,k=15|vol=1.20,k=20|vol=0.80,k=20|vol=1.00,k=20|vol=1.20,k=30|vol=0.80,k=30|vol=1.00,k=30|vol=1.20,SPY
2010-08-02,1.0044552925287973,1.0059935632098418,1.0073831105146844,1.0063196192754509,1.0063304063628087,1.0073831105136482,1.0063196192754509,1.0063304063628087,1.0073831105139162,1.0063196192754509,1.0063304063628087,1.0073831105139937,1.0063196192754509,1.0063304063628087,1.007383110514026,1.0225812190373573
2010-08-03,0.9991981701778898,0.9996141390483942,1.00209803264127,1.000913022950748,1.0006793717221758,1.0020980326410303,1.000913022950748,1.0006793717221758,1.0020980326409559,1.000913022950748,1.0006793717221758,1.0020980326414,1.000913022950748,1.0006793717221758,1.0020980326406494,1.0176842970096678
2010-08-04,1.0067166555198896,1.0102506097952095,1.0156048189567894,1.008234281632856,1.0114261380133758,1.015604818956666,1.008234281632856,1.0114261380133758,1.015604818956437,1.008234281632856,1.0114261380133758,1.0156048189570928,1.008234281632856,1.0114261380133758,1.0156048189556788,1.024485526684458
2010-08-05,1.0100314663570895,1.0134048945691676,1.0176243262419389,1.0110479472059162,1.0137315286067141,1.0176243262426088,1.0110479472059162,1.0137315286067141,1.0176243262421545,1.0110479472059162,1.0137315286067141,1.0176243262426803,1.0110479472059162,1.0137315286067141,1.0176243262411564,1.023397036641768
2010-08-06,1.0179609111976382,1.0216442817993445,1.027530351931122,1.0174072279319948,1.0219849378612953,1.0275303519335195,1.0174072279319948,1.0219849378612953,1.0275303519323753,1.0174072279319948,1.0219849378612953,1.0275303519332837,1.0174072279319948,1.0219849378612953,1.0275303519304018,1.0192256524364038
2010-08-09,1.0205011805811173,1.0228751726307697,1.0272100140734657,1.0204492784374177,1.0230611932327092,1.0272100140755351,1.0204492784374177,1.0230611932327092,1.0272100140745049,1.0204492784374177,1.0230611932327092,1.027210014075344,1.0204492784374177,1.0230611932327092,1.0272100140726332,1.0246670027946405
2010-08-10,1.0276691716150772,1.03093765763575,1.0357129138209136,1.0265650950937326,1.0302185102012384,1.035712913824841,1.0265650950937326,1.0302185102012384,1.0357129138231589,1.0265650950937326,1.0302185102012384,1.0357129138241001,1.0265650950937326,1.0302185102012384,1.0357129138204373,1.019135097690515
2010-08-11,1.0188027845319794,1.0174071416805435,1.0173525526411487,1.0153929943436133,1.015675021444866,1.0173525526467133,1.0153929943436133,1.015675021444866,1.0173525526445355,1.0153929943436133,1.015675021444866,1.0173525526453917,1.0153929943436133,1.015675021444866,1.0173525526413096,0.9912038162776189
2010-08-12,1.0270270856171915,1.0251229560795165,1.0236548897349345,1.0218299386591385,1.0215970956216123,1.0236548897426196,1.0218299386591385,1.0215970956216123,1.0236548897398785,1.0218299386591385,1.0215970956216123,1.0236548897403999,1.0218299386591385,1.0215970956216123,1.0236548897362157,0.9851275744975472
2010-08-13,1.0238082453486042,1.0217152817045279,1.0198979583301475,1.0188971959705186,1.018363330624057,1.0198979583377172,1.0188971959705186,1.018363330624057,1.0198979583350183,1.0188971959705186,1.018363330624057,1.019897958335564,1.0188971959705186,1.018363330624057,1.0198979583314423,0.9822257898266509
2010-08-16,1.0339692851888258,1.0320543479468975,1.0292982448429882,1.027099942296396,1.0276399346706215,1.0292982448517767,1.027099942296396,1.0276399346706215,1.029298244848684,1.027099942296396,1.0276399346706215,1.0292982448491321,1.027099942296396,1.0276399346706215,1.0292982448445842,0.9817720995511948
2010-08-17,1.0420668382215381,1.0442445933254172,1.0450024377436475,1.0364859141177152,1.040451857755725,1.0450024377505345,1.0364859141177152,1.040451857755725,1.0450024377480267,1.0364859141177152,1.040451857755725,1.045002437748425,1.0364859141177152,1.040451857755725,1.0450024377444342,0.9938333867832415
