date,k=20|vol=1.00,SPY
2010-08-02,1.0063304062399203,1.0225812190373573
2010-08-03,1.0006793714379674,1.0176842970096678
2010-08-04,1.0114261376867182,1.024485526684458
2010-08-05,1.0137315283376809,1.023397036641768
2010-08-06,1.0219849375342733,1.0192256524364038
2010-08-09,1.0230611929064466,1.0246670027946405
2010-08-10,1.0302185098558443,1.019135097690515
2010-08-11,1.0156750212478454,0.9912038162776189
2010-08-12,1.021597095649633,0.9851275744975472
2010-08-13,1.0183633305894324,0.9822257898266509
2010-08-16,1.0276399348083463,0.9817720995511948
2010-08-17,1.0404518579309672,0.9938333867832415
2010-08-18,1.0379792755304782,0.9956473229936557
2010-08-19,1.0314716223568379,0.9783259782043526
2010-08-20,1.0428533507797035,0.975152162677385
2010-08-23,1.0307730907769355,0.9714340104744712
2010-08-24,1.0263726653611343,0.95701490862907
2010-08-25,1.027403870613575,0.960733335795787
2010-08-26,1.0208280813502086,0.9542943251045528
2010-08-27,1.0315614903842298,0.9690758292427123
2010-08-30,1.0197661294135478,0.9550193129992713
2010-08-31,1.0212554069548743,0.9550193129992713
2010-09-01,1.0458775442784913,0.9835860357616091
2010-09-02,1.0615917710101306,0.992745171704355
2010-09-03,1.0580212814517918,1.0056226431592168
2010-09-07,1.0585915053094248,0.9942867104402932
2010-09-08,1.0703845602985211,1.0012697828436703
2010-09-09,1.0774913216950786,1.005894490706086
2010-09-10,1.0749275457162544,1.0109733471169633
2010-09-13,1.0831122866517446,1.0222185417807959
2010-09-14,1.0957172347627786,1.0215832837405565
2010-09-15,1.0857527545397017,1.0254829120536526
2010-09-16,1.084269497722635,1.0252112478159856
2010-09-17,1.10261679576491,1.0255938141209862
2010-09-20,1.1169371259112117,1.0412756414057727
2010-09-21,1.1174223348442915,1.0391785841325538
2010-09-22,1.1278833660442988,1.0340729645781546
2010-09-23,1.1220982056126796,1.025685193758285
2010-09-24,1.1341803985370713,1.046836967636852
2010-09-27,1.1407795637661897,1.0418224527559485
2010-09-28,1.1381576354087497,1.0454696642976093
2010-09-29,1.1535315184275885,1.0436460126994784
2010-09-30,1.1353738444168784,1.0405463457448025
2010-10-01,1.1200898408333717,1.0449225779836302
2010-10-04,1.1270459658149774,1.0370813435501332
2010-10-05,1.1377687992187553,1.05796035333582
2010-10-06,1.1203302887000208,1.0578686987347177
2010-10-07,1.1193466442073998,1.0565926833781725
2010-10-08,1.1176726302903124,1.0625186116124365
2010-10-11,1.128564892630594,1.0635215879122981
2010-10-12,1.1324616769900968,1.0668037391777685
2010-10-13,1.1331607197753713,1.0751003136695416
2010-10-14,1.1360406578429927,1.0709064740869072
2010-10-15,1.1482312396241405,1.0730943610698183
2010-10-18,1.1454738956282213,1.078382556589613
2010-10-19,1.1238966911805115,1.0642510668824705
2010-10-20,1.1355172446469468,1.0746443320290577
2010-10-21,1.1602263467542593,1.0770147949773643
2010-10-22,1.2008336457497968,1.0790207475770874
2010-10-25,1.2085904232833098,1.0822117025144613
2010-10-26,1.2367335912760045,1.0823941868252558
2010-10-27,1.2370057690984542,1.0792944282159787
2010-10-28,1.2249184651384977,1.0794767292175709
2010-10-29,1.2266015681038525,1.0802972212066377
2010-11-01,1.2294620254227353,1.0806615482460191
2010-11-02,1.2304553777834177,1.0892318033766835
2010-11-03,1.2354773807348884,1.09360794396091
2010-11-04,1.2382779181578143,1.1146687964751836
2010-11-05,1.2451013303633978,1.1188626360578178
2010-11-08,1.2403306398873684,1.1167658537484024
2010-11-09,1.2372957305169014,1.1087426849317172
2010-11-10,1.239917072528393,1.1132104801170464
2010-11-11,1.2388126951643117,1.109016640534412
2010-11-12,1.2243517486020195,1.0958876688541255
2010-11-15,1.2191627401568736,1.0943375145856837
2010-11-16,1.2078246817655998,1.0772883839616543
2010-11-17,1.2122776836206108,1.0778353786210322
2010-11-18,1.2327892703794294,1.0936992319436079
2010-11-19,1.2341823220438406,1.0967080691885918
2010-11-22,1.249175526029727,1.0957965641806302
2010-11-23,1.24590387622696,1.0799328941672568
2010-11-24,1.2548331393824081,1.0958876688541255
2010-11-26,1.252481733735624,1.0831237574500294
2010-11-29,1.2572956189575146,1.0864055420970955
2010-11-30,1.2593781275029519,1.080297221206638
2010-12-01,1.2672842313419195,1.1032725550287348
2010-12-02,1.2665686229007485,1.1174039530812763
2010-12-03,1.2597801217459863,1.12041279032626
2010-12-06,1.2643178231758554,1.1192275130248057
2010-12-07,1.2559128079053434,1.1198658873214826
