strategy,support_size,vol_multiplier,rebalance_date,next_rebalance_date,target_vol_daily,target_vol_annualized,benchmark_vol_annualized,dense_realized_vol_daily,dense_realized_vol_annualized,sparse_realized_vol_daily,sparse_realized_vol_annualized,dense_expected_return_daily,sparse_expected_return_daily,dense_feasible,sparse_feasible,num_holdings
k=20|vol=1.00,20,1.0,2010-07-30,2010-08-31,0.012737117317132682,0.20219546904592378,0.20219546904592378,0.012737117470924656,0.20219547148729566,0.012737117470924656,0.20219547148729566,0.001975709215870469,0.0019757092158704695,True,True,6
k=20|vol=1.00,20,1.0,2010-08-31,2010-09-30,0.012517264640448921,0.19870541600046107,0.19870541600046107,0.012517264696212418,0.1987054168856791,0.012517264696212418,0.1987054168856791,0.0023681077750298896,0.00236810777502989,True,True,8
k=20|vol=1.00,20,1.0,2010-09-30,2010-10-29,0.012308516918093426,0.19539164863983827,0.19539164863983827,0.012308516927076333,0.19539164878243748,0.012308516927076333,0.19539164878243748,0.0034128038436479166,0.003412803843647916,True,True,7
k=20|vol=1.00,20,1.0,2010-10-29,2010-11-30,0.011854704220610785,0.18818759540378355,0.18818759540378355,0.011854704237077051,0.1881875956651774,0.011854704237077053,0.18818759566517743,0.0035897629101511474,0.0035897629101511483,True,True,6
k=20|vol=1.00,20,1.0,2010-11-30,2010-12-31,0.011634334124944268,0.18468932858660883,0.18468932858660883,0.011634336010390092,0.1846893585171334,0.011634334124980437,0.18468932858718298,0.003579107305059079,0.0035791067464747734,True,True,9
k=20|vol=1.00,20,1.0,2010-12-31,2011-01-31,0.011247147253931219,0.1785429275569502,0.1785429275569502,0.01124714727268669,0.17854292785468406,0.01124714727268669,0.17854292785468406,0.0030476812110285774,0.0030476812110285774,True,True,7
k=20|vol=1.00,20,1.0,2011-01-31,2011-02-28,0.010958553038634114,0.17396163641602239,0.17396163641602239,0.010958553090437393,0.17396163723837393,0.010958553090437397,0.173961637238374,0.003511598975804469,0.00351159897580447,True,True,11
k=20|vol=1.00,20,1.0,2011-02-28,2011-03-31,0.010754929907263594,0.17072921941530259,0.17072921941530259,0.010754930144294775,0.17072922317805594,0.010754929933386805,0.1707292198299957,0.003401873846550081,0.00340191295103394,True,True,13
k=20|vol=1.00,20,1.0,2011-03-31,2011-04-29,0.010706476292851057,0.16996004213215585,0.16996004213215585,0.01070647634197844,0.16996004291202887,0.010706476341978442,0.1699600429120289,0.0032332778113305007,0.0032332778113305007,True,True,13
k=20|vol=1.00,20,1.0,2011-04-29,2011-05-31,0.010466510707469786,0.16615070655935857,0.16615070655935857,0.010466510759452149,0.166150707384553,0.01046651075945215,0.16615070738455304,0.003255363023083464,0.003255363023083464,True,True,11
k=20|vol=1.00,20,1.0,2011-05-31,2011-06-30,0.010281778655020142,0.1632181761395728,0.1632181761395728,0.010281778801953887,0.16321817847207368,0.010281778801953887,0.16321817847207368,0.0031116795680593665,0.0031116795680593665,True,True,8
k=20|vol=1.00,20,1.0,2011-06-30,2011-07-29,0.01027989433738,0.16318826352437157,0.16318826352437157,0.010279895265185633,0.1631882782528294,0.01027989433822893,0.16318826353784793,0.0026160272224826408,0.002616084504318991,True,True,13
k=20|vol=1.00,20,1.0,2011-07-29,2011-08-31,0.010251655729035577,0.1627399895140722,0.1627399895140722,0.010251656072588445,0.16273999496780492,0.010251656072588444,0.1627399949678049,0.001968841684719617,0.001968841684719617,True,True,9
k=20|vol=1.00,20,1.0,2011-08-31,2011-09-30,0.011985970307139354,0.1902713799269712,0.1902713799269712,0.011985970354664126,0.1902713806814036,0.011985970354664128,0.19027138068140362,0.0016286486270957123,0.0016286486270957125,True,True,4
